date	user	message	stream
2024-09-07 12:27:56 UTC	MatthewTheTaxCollector	MatthewTheTaxCollector subscribed at Tier 1. They've subscribed for 3 months! Feeding the food baby are we	106
2024-09-07 12:28:13 UTC	MatthewTheTaxCollector	the food baby is the stomach xD	106
2024-09-07 13:43:29 UTC	Greksallad	livvy dunne and baby gronk/10	106
2024-09-07 14:05:03 UTC	YanesJuseAlvesCorrea	photokEstraladireita BabyRage photokEstraladireita photokBobsponja photokBarriguinhamole TheIlluminati	106
2024-09-07 14:17:55 UTC	YanesJuseAlvesCorrea	star fox 🦊 NES photokEstraladireita BabyRage photokEstraladireita photokBobsponja photokBarriguinhamole	106
2024-09-07 15:30:45 UTC	balintboss	BabyRage	106
2024-09-08 12:29:18 UTC	riesenklotz	confidence babyyyyy	107
2024-09-08 12:42:36 UTC	maybeimpro1	hello baby doro doro	107
2024-09-08 15:40:55 UTC	0buddha	BabyRage	107
2024-09-08 15:59:17 UTC	0buddha	BabyRage	107
2024-09-08 16:25:35 UTC	sushitrash200	Baby, i was ready, moving on	107
2024-09-10 12:03:51 UTC	mustafo2007	baby how old are u?	109
2024-09-10 14:01:39 UTC	hanepirukas1	you can throw a freshly born baby into the water and it knows how to swim YEP	109
2024-09-10 17:10:21 UTC	TheDoctorFlash	baby reindeer is the average streamer's life	109
2024-09-10 17:33:53 UTC	BagsBoom	hi tik tok girl baby SUBprise SUBprise SUBprise	109
2024-09-11 13:22:11 UTC	yairmf	baby sitting top	110
2024-09-11 14:10:28 UTC	fuzok4	@user_az hi baby	110
2024-09-11 14:35:38 UTC	TheDoctorFlash	dye your hair. IMMEDIATELY BabyRage	110
2024-09-13 16:07:26 UTC	black_widow_shadow	ayoo doros liive babyy	112
2024-09-13 19:04:59 UTC	ansarpaz13	how are you Baby ? 😎	112
2024-09-13 22:31:11 UTC	AtaccTheSnacc	Doro buys clothes on the baby isle in sweden	112
2024-09-14 00:06:01 UTC	banties1g	da baby	112
2024-09-14 00:06:41 UTC	Drakesfjord	you form the baby into a ball and then throw	112
2024-09-16 13:12:55 UTC	benzer_w222	DaBaby	113
2024-09-16 14:16:07 UTC	itzgamer235	babys	113
2024-09-16 15:09:12 UTC	Omaryuuuuuu	Is it possible to adopt a baby instead of an animal and feed it for couple years and take care of it?	113
2024-09-16 15:20:09 UTC	Zerjohn	he was like singing baby shark hahaha	113
2024-09-16 18:08:54 UTC	devilleboi	did u find the baby yet	113
2024-09-16 18:09:08 UTC	devilleboi	theres a baby yes	113
2024-09-17 15:10:11 UTC	1206paul_	""" Diddy’s Miami house had over 1,000 bottles of baby oil and lubricant among “various Freak Off supplies”, police documents reveal """	114
2024-09-19 13:47:21 UTC	fox_die007	i like your voice its like baby voice hhhhh	115
2024-09-19 14:55:20 UTC	solidmathi	babyshark	115
2024-09-19 14:55:30 UTC	jokur77	shoot that babyshark	115
2024-09-19 14:57:06 UTC	Plume7777	forsenLaughingAtYou why always me BabyRage	115
2024-09-19 17:18:36 UTC	Plume7777	BabyRage ? or ReallyMad ?	115
2024-09-20 15:16:52 UTC	IvanOnMyOwn	BabyRage Mooooom, where is the sugar	116
2024-09-20 15:25:11 UTC	IvanOnMyOwn	1000 baby bottles	116
2024-09-20 15:25:30 UTC	Cuhhsin	1000 bottles of baby oil is crazy	116
2024-09-20 15:46:35 UTC	Plume7777	Mom BabyRage	116
2024-09-21 12:57:51 UTC	Plume7777	22 is nothing, you're still a baby BabyRage	117
2024-09-21 12:58:10 UTC	xfaisal66x	22 is not baby buddy	117
2024-09-21 12:58:18 UTC	1206paul_	gu gu ga ga im only 21 BabyRage	117
2024-09-21 13:37:41 UTC	fuzok4	what if travis scott and talk tuah girl had a baby	117
